"Row","FIPS","GENC","Country/Area Name","Year","Population","Annual Growth Rate %","Area (sq km)","Density (per sq km)","Total Fertility Rate","Life Expectancy at Birth","Under-5 Mortality Rate"
"1","AF","AF","Afghanistan","1990","13568282","-1.928","652230","20.8","8","42.19","251.3"
"2","AF","AF","Afghanistan","1991","13671918","3.43","652230","21","8","42.69","246.29"
"3","AF","AF","Afghanistan","1992","15023317","14.87","652230","23","8","42.99","243.38"
"4","AF","AF","Afghanistan","1993","17003437","10.153","652230","26.1","8","43.29","240.49"
"5","AF","AF","Afghanistan","1994","18486041","6.702","652230","28.3","8","43.59","237.62"
"6","AF","AF","Afghanistan","1995","19445013","3.492","652230","29.8","8","43.88","234.78"
"7","AF","AF","Afghanistan","1996","20110508","3.242","652230","30.8","8","44.17","231.98"
"8","AF","AF","Afghanistan","1997","20769357","3.206","652230","31.8","8","44.51","228.82"
"9","AF","AF","Afghanistan","1998","21451549","3.257","652230","32.9","8","44.83","225.7"
"10","AF","AF","Afghanistan","1999","22205667","3.646","652230","34","8","45.16","222.61"
"11","AF","AF","Afghanistan","2000","22461349","-1.328","652230","34.4","8","45.49","219.57"
"12","AF","AF","Afghanistan","2001","22507266","1.733","652230","34.5","7.2","45.81","216.56"
"13","AF","AF","Afghanistan","2002","23599230","7.601","652230","36.2","6","46.1","213.89"
"14","AF","AF","Afghanistan","2003","25003784","4.061","652230","38.3","6.58","46.39","211.24"
"15","AF","AF","Afghanistan","2004","25695673","1.434","652230","39.4","6.4753","46.68","208.63"
"16","AF","AF","Afghanistan","2005","26332646","3.439","652230","40.4","6.3707","47.06","205.41"
"17","AF","AF","Afghanistan","2006","27152418","2.704","652230","41.6","6.266","47.44","202.26"
"18","AF","AF","Afghanistan","2007","27385162","-0.981","652230","42","6.1628","47.81","199.15"
"19","AF","AF","Afghanistan","2008","27703539","3.268","652230","42.5","6.0596","48.19","196.06"
"20","AF","AF","Afghanistan","2009","28480801","2.279","652230","43.7","5.9564","48.56","193.03"
"21","AF","AF","Afghanistan","2010","29116851","2.139","652230","44.6","5.8532","48.93","190.04"
"22","AF","AF","Afghanistan","2011","29752169","2.177","652230","45.6","5.75","49.32","186.89"
"23","AF","AF","Afghanistan","2012","30412510","2.213","652230","46.6","5.644","49.71","183.79"
"24","AF","AF","Afghanistan","2013","31098161","2.246","652230","47.7","5.538","50.1","180.75"
"25","AF","AF","Afghanistan","2014","31809829","2.279","652230","48.8","5.432","50.49","177.73"
"26","AL","AL","Albania","1990","3244925","1.11","27398","118.4","3.0884","71.16","57.85"
"27","AL","AL","Albania","1991","3181048","-5.148","27398","116.1","3.0095","70.97","61.73"
"28","AL","AL","Albania","1992","3072011","-1.768","27398","112.1","3.0917","70.52","64.57"
"29","AL","AL","Albania","1993","3066284","1.397","27398","111.9","2.8174","70.57","66.85"
"30","AL","AL","Albania","1994","3111161","1.508","27398","113.6","2.9787","70.17","73.38"
"31","AL","AL","Albania","1995","3158153","1.491","27398","115.3","2.9429","71.24","60.59"
"32","AL","AL","Albania","1996","3203598","1.368","27398","116.9","2.7605","72.2","52.42"
"33","AL","AL","Albania","1997","3225413","-0.006","27398","117.7","2.4937","71.91","44.2"
"34","AL","AL","Albania","1998","3212769","-0.781","27398","117.3","2.4484","72.48","34.33"
"35","AL","AL","Albania","1999","3187327","-0.809","27398","116.3","2.3999","73.93","28.2"
"36","AL","AL","Albania","2000","3158351","-1.019","27398","115.3","2.1716","74.7","28.72"
"37","AL","AL","Albania","2001","3128001","-0.912","27398","114.2","2.3778","75.14","28.41"
"38","AL","AL","Albania","2002","3098028","-1.014","27398","113.1","1.9949","75.44","24.09"
"39","AL","AL","Albania","2003","3069664","-0.824","27398","112","2.0706","74.85","22.98"
"40","AL","AL","Albania","2004","3045640","-0.747","27398","111.2","1.905","75.25","19.89"
"41","AL","AL","Albania","2005","3024532","-0.644","27398","110.4","1.7436","75.77","18.64"
"42","AL","AL","Albania","2006","3005777","-0.6","27398","109.7","1.5043","76.47","16.32"
"43","AL","AL","Albania","2007","2991573","-0.347","27398","109.2","1.4546","78.28","14.33"
"44","AL","AL","Albania","2008","2984372","-0.135","27398","108.9","1.4603","78.34","14.24"
"45","AL","AL","Albania","2009","2983560","0.081","27398","108.9","1.466","78.39","14.16"
"46","AL","AL","Albania","2010","2989272","0.302","27398","109.1","1.4717","78.45","14.09"
"47","AL","AL","Albania","2011","2998428","0.31","27398","109.4","1.4774","78.5","14.01"
"48","AL","AL","Albania","2012","3007803","0.314","27398","109.8","1.4831","78.56","13.94"
"49","AL","AL","Albania","2013","3017282","0.315","27398","110.1","1.4889","78.61","13.86"
"50","AL","AL","Albania","2014","3026779","0.314","27398","110.5","1.4946","78.67","13.78"
"51","AG","DZ","Algeria","1990","25190449","2.534","2381740","10.6","4.5187","70.71","50.17"
"52","AG","DZ","Algeria","1991","25825978","2.45","2381740","10.8","4.3309","70.82","48.26"
"53","AG","DZ","Algeria","1992","26493629","2.652","2381740","11.1","4.3072","70.67","47.41"
"54","AG","DZ","Algeria","1993","27154754","2.282","2381740","11.4","4.0161","70.17","48.85"
"55","AG","DZ","Algeria","1994","27758508","2.118","2381740","11.7","3.8794","69.45","47.23"
"56","AG","DZ","Algeria","1995","28321697","1.901","2381740","11.9","3.4206","69.63","45.76"
"57","AG","DZ","Algeria","1996","28837598","1.711","2381740","12.1","3.027","70.38","44.75"
"58","AG","DZ","Algeria","1997","29318183","1.596","2381740","12.3","2.9236","70.14","47.86"
"59","AG","DZ","Algeria","1998","29768857","1.456","2381740","12.5","2.6137","70.94","43.83"
"60","AG","DZ","Algeria","1999","30204849","1.452","2381740","12.7","2.4695","71.34","46.26"
"61","AG","DZ","Algeria","2000","30638018","1.396","2381740","12.9","2.3654","71.84","43.72"
"62","AG","DZ","Algeria","2001","31077277","1.45","2381740","13","2.4107","72.19","44.95"
"63","AG","DZ","Algeria","2002","31523711","1.403","2381740","13.2","2.3304","72.99","40.53"
"64","AG","DZ","Algeria","2003","31975415","1.442","2381740","13.4","2.3843","72.51","40.5"
"65","AG","DZ","Algeria","2004","32450849","1.509","2381740","13.6","2.3919","73.7","37.26"
"66","AG","DZ","Algeria","2005","32917567","1.348","2381740","13.8","2.4537","73.51","37.56"
"67","AG","DZ","Algeria","2006","33420968","1.685","2381740","14","2.5206","74.47","33.36"
"68","AG","DZ","Algeria","2007","34002400","1.764","2381740","14.3","2.6108","74.75","32.06"
"69","AG","DZ","Algeria","2008","34619419","1.832","2381740","14.5","2.6675","75.02","30.93"
"70","AG","DZ","Algeria","2009","35268128","1.881","2381740","14.8","2.721","75.29","30.09"
"71","AG","DZ","Algeria","2010","35949869","1.948","2381740","15.1","2.8013","75.56","29.22"
"72","AG","DZ","Algeria","2011","36653828","1.931","2381740","15.4","2.7978","75.76","28.66"
"73","AG","DZ","Algeria","2012","37365369","1.915","2381740","15.7","2.7942","75.97","28.11"
"74","AG","DZ","Algeria","2013","38083690","1.894","2381740","16","2.7907","76.17","27.57"
"75","AG","DZ","Algeria","2014","38806577","1.867","2381740","16.3","2.7871","76.37","27.03"
"76","AQ","AS","American Samoa","1990","47199","","198","238.4","","",""
"77","AQ","AS","American Samoa","1991","48563","","198","245.3","","",""
"78","AQ","AS","American Samoa","1992","49942","","198","252.2","","",""
"79","AQ","AS","American Samoa","1993","51363","","198","259.4","","",""
"80","AQ","AS","American Samoa","1994","52707","","198","266.2","","",""
"81","AQ","AS","American Samoa","1995","53872","","198","272.1","","",""
"82","AQ","AS","American Samoa","1996","54918","","198","277.4","","",""
"83","AQ","AS","American Samoa","1997","55918","","198","282.4","","",""
"84","AQ","AS","American Samoa","1998","56873","","198","287.2","","",""
"85","AQ","AS","American Samoa","1999","57782","","198","291.8","","",""
"86","AQ","AS","American Samoa","2000","57699","0.094","198","291.4","4.0001","74.85","13.35"
"87","AQ","AS","American Samoa","2001","57676","-0.173","198","291.3","3.8974","70.4","17.95"
"88","AQ","AS","American Samoa","2002","57556","-0.243","198","290.7","3.903","69.92","18.69"
"89","AQ","AS","American Samoa","2003","57424","-0.214","198","290","3.9273","72.08","16.15"
"90","AQ","AS","American Samoa","2004","57338","-0.085","198","289.6","4.2608","70.77","17.7"
"91","AQ","AS","American Samoa","2005","57297","-0.058","198","289.4","4.3668","71.73","16.91"
"92","AQ","AS","American Samoa","2006","57131","-0.523","198","288.5","3.6983","72.25","15.9"
"93","AQ","AS","American Samoa","2007","56765","-0.761","198","286.7","3.3698","73.13","14.74"
"94","AQ","AS","American Samoa","2008","56361","-0.667","198","284.7","3.508","74.06","13.85"
"95","AQ","AS","American Samoa","2009","55961","-0.756","198","282.6","3.6308","70.37","18.25"
"96","AQ","AS","American Samoa","2010","55529","-0.796","198","280.4","3.416","74.51","13.83"
"97","AQ","AS","American Samoa","2011","55055","-0.921","198","278.1","3.403","72.65","15.33"
"98","AQ","AS","American Samoa","2012","54476","-1.197","198","275.1","3.1253","72.99","15.04"
"99","AQ","AS","American Samoa","2013","53808","-1.271","198","271.8","3.099","73.71","13.97"
"100","AQ","AS","American Samoa","2014","53078","-1.466","198","268.1","2.9196","74.54","13.22"
"101","AN","AD","Andorra","1990","52747","6.275","468","112.7","1.294","79.48","7.51"
"102","AN","AD","Andorra","1991","56475","7.341","468","120.7","1.3171","78.64","8.89"
"103","AN","AD","Andorra","1992","59722","3.933","468","127.6","1.3414","78.34","9.04"
"104","AN","AD","Andorra","1993","62559","5.317","468","133.7","1.266","79.03","8.36"
"105","AN","AD","Andorra","1994","63826","-1.239","468","136.4","1.2083","80.46","6.59"
"106","AN","AD","Andorra","1995","63245","-0.59","468","135.1","1.2314","79.2","8.09"
"107","AN","AD","Andorra","1996","63358","0.947","468","135.4","1.2419","80.39","6.42"
"108","AN","AD","Andorra","1997","64053","1.232","468","136.9","1.2954","80.95","6.03"
"109","AN","AD","Andorra","1998","64728","0.865","468","138.3","1.3882","79.92","7.14"
"110","AN","AD","Andorra","1999","65073","0.203","468","139","1.4995","81.48","5.62"
"111","AN","AD","Andorra","2000","65099","-0.123","468","139.1","1.3733","80.96","6.1"
"112","AN","AD","Andorra","2001","65316","0.787","468","139.6","1.46","82.1","4.99"
"113","AN","AD","Andorra","2002","65986","1.252","468","141","1.4164","82.36","4.78"
"114","AN","AD","Andorra","2003","68782","6.929","468","147","1.2903","82.87","4.34"
"115","AN","AD","Andorra","2004","73247","5.684","468","156.5","1.3063","81.32","5.83"
"116","AN","AD","Andorra","2005","76122","2.086","468","162.7","1.296","81.86","5.22"
"117","AN","AD","Andorra","2006","78294","3.519","468","167.3","1.303","82.99","4.29"
"118","AN","AD","Andorra","2007","80757","2.688","468","172.6","1.3121","82.83","4.34"
"119","AN","AD","Andorra","2008","82631","1.908","468","176.6","1.3211","82.85","4.33"
"120","AN","AD","Andorra","2009","83904","1.155","468","179.3","1.3301","82.86","4.33"
"121","AN","AD","Andorra","2010","84563","0.414","468","180.7","1.3391","82.88","4.33"
"122","AN","AD","Andorra","2011","84888","0.355","468","181.4","1.3482","82.89","4.32"
"123","AN","AD","Andorra","2012","85164","0.294","468","182","1.3572","82.91","4.31"
"124","AN","AD","Andorra","2013","85389","0.234","468","182.5","1.3662","82.92","4.3"
"125","AN","AD","Andorra","2014","85563","0.175","468","182.8","1.3752","82.94","4.3"
"126","AO","AO","Angola","1990","11125141","3.432","1246700","8.9","7.0372","51.97","226.31"
"127","AO","AO","Angola","1991","11514886","3.453","1246700","9.2","7.0167","51.98","225.36"
"128","AO","AO","Angola","1992","11932690","3.67","1246700","9.6","6.9962","51.98","224.42"
"129","AO","AO","Angola","1993","12392443","3.886","1246700","9.9","6.9756","51.99","223.47"
"130","AO","AO","Angola","1994","12873699","3.736","1246700","10.3","6.9551","51.99","222.53"
"131","AO","AO","Angola","1995","13360653","3.689","1246700","10.7","6.9345","51.99","221.6"
"132","AO","AO","Angola","1996","13828862","3.207","1246700","11.1","6.914","52","220.67"
"133","AO","AO","Angola","1997","14282750","3.251","1246700","11.5","6.8814","52","219.74"
"134","AO","AO","Angola","1998","14737018","3.014","1246700","11.8","6.8488","52","218.81"
"135","AO","AO","Angola","1999","15197714","3.14","1246700","12.2","6.8162","52","217.89"
"136","AO","AO","Angola","2000","15657310","2.823","1246700","12.6","6.7835","51.99","216.98"
"137","AO","AO","Angola","2001","16131548","3.139","1246700","12.9","6.7509","52.65","206.41"
"138","AO","AO","Angola","2002","16685260","3.602","1246700","13.4","6.7183","53.27","196.3"
"139","AO","AO","Angola","2003","17346160","4.155","1246700","13.9","6.6857","53.87","186.65"
"140","AO","AO","Angola","2004","18075908","4.087","1246700","14.5","6.6531","54.44","177.41"
"141","AO","AO","Angola","2005","18789200","3.661","1246700","15.1","6.6205","54.98","168.55"
"142","AO","AO","Angola","2006","19490354","3.665","1246700","15.6","6.5878","55.49","160.11"
"143","AO","AO","Angola","2007","20226108","3.743","1246700","16.2","6.5552","55.98","152.07"
"144","AO","AO","Angola","2008","20996143","3.729","1246700","16.8","6.5226","56.44","144.37"
"145","AO","AO","Angola","2009","21804107","3.82","1246700","17.5","6.49","56.88","137.02"
"146","AO","AO","Angola","2010","22641144","3.715","1246700","18.2","6.464","57.29","130.05"
"147","AO","AO","Angola","2011","23499214","3.724","1246700","18.8","6.438","57.73","126.3"
"148","AO","AO","Angola","2012","24407498","3.858","1246700","19.6","6.412","58.17","122.67"
"149","AO","AO","Angola","2013","25353587","3.75","1246700","20.3","6.386","58.6","119.12"
"150","AO","AO","Angola","2014","26314148","3.688","1246700","21.1","6.36","59.02","115.69"
"151","AV","AI","Anguilla","1990","8410","3.401","91","92.4","2.1946","76.17","13.58"
"152","AV","AI","Anguilla","1991","8701","3.39","91","95.6","2.2843","75.91","8.53"
"153","AV","AI","Anguilla","1992","8976","2.841","91","98.6","1.7849","73.76","27.21"
"154","AV","AI","Anguilla","1993","9248","3.114","91","101.6","2.1316","75.06","15.17"
"155","AV","AI","Anguilla","1994","9542","3.134","91","104.9","1.9716","77.79","11.82"
"156","AV","AI","Anguilla","1995","9845","3.118","91","108.2","1.986","77.76","13.32"
"157","AV","AI","Anguilla","1996","10139","2.752","91","111.4","1.9209","73.57","8.94"
"158","AV","AI","Anguilla","1997","10439","3.085","91","114.7","1.9361","77.96","7.58"
"159","AV","AI","Anguilla","1998","10754","2.873","91","118.2","1.7633","77.13","8.19"
"160","AV","AI","Anguilla","1999","11079","3.069","91","121.7","1.945","78.14","7.34"
"161","AV","AI","Anguilla","2000","11426","3.089","91","125.6","2.1072","76.61","7.17"
"162","AV","AI","Anguilla","2001","11774","2.913","91","129.4","1.9818","77.31","6.73"
"163","AV","AI","Anguilla","2002","12113","2.766","91","133.1","1.7404","79.14","5.69"
"164","AV","AI","Anguilla","2003","12447","2.683","91","136.8","1.7395","79.3","5.64"
"165","AV","AI","Anguilla","2004","12780","2.598","91","140.4","1.7387","79.45","5.56"
"166","AV","AI","Anguilla","2005","13111","2.525","91","144.1","1.7378","79.6","5.51"
"167","AV","AI","Anguilla","2006","13442","2.455","91","147.7","1.737","79.75","5.45"
"168","AV","AI","Anguilla","2007","13771","2.382","91","151.3","1.7362","79.9","5.37"
"169","AV","AI","Anguilla","2008","14098","2.312","91","154.9","1.7353","80.05","5.31"
"170","AV","AI","Anguilla","2009","14424","2.253","91","158.5","1.7345","80.2","5.25"
"171","AV","AI","Anguilla","2010","14748","2.197","91","162.1","1.7336","80.35","5.2"
"172","AV","AI","Anguilla","2011","15073","2.163","91","165.6","1.7328","80.49","5.12"
"173","AV","AI","Anguilla","2012","15400","2.13","91","169.2","1.7319","80.64","5.06"
"174","AV","AI","Anguilla","2013","15728","2.092","91","172.8","1.7311","80.78","5.01"
"175","AV","AI","Anguilla","2014","16058","2.061","91","176.5","1.7303","80.93","4.95"
"176","AC","AG","Antigua and Barbuda","1990","64162","","443","144.8","","",""
"177","AC","AG","Antigua and Barbuda","1991","64025","1.779","443","144.5","2.4648","72.28","28.53"
"178","AC","AG","Antigua and Barbuda","1992","65181","1.801","443","147.1","2.4841","72.37","28.32"
"179","AC","AG","Antigua and Barbuda","1993","66331","1.699","443","149.7","2.3859","72.12","28.89"
"180","AC","AG","Antigua and Barbuda","1994","67485","1.752","443","152.3","2.4295","72.38","28.3"
"181","AC","AG","Antigua and Barbuda","1995","68710","1.845","443","155.1","2.5371","72.48","28.08"
"182","AC","AG","Antigua and Barbuda","1996","70055","2.03","443","158.1","2.7127","73.44","26.01"
"183","AC","AG","Antigua and Barbuda","1997","71454","1.924","443","161.3","2.6602","72.74","27.5"
"184","AC","AG","Antigua and Barbuda","1998","72782","1.76","443","164.3","2.4726","72.98","27.01"
"185","AC","AG","Antigua and Barbuda","1999","74017","1.605","443","167.1","2.3865","71.68","29.89"
"186","AC","AG","Antigua and Barbuda","2000","75352","1.967","443","170.1","2.724","73.51","25.87"
"187","AC","AG","Antigua and Barbuda","2001","76735","1.673","443","173.2","2.413","73.44","26.03"
"188","AC","AG","Antigua and Barbuda","2002","77936","1.436","443","175.9","2.106","74.23","24.42"
"189","AC","AG","Antigua and Barbuda","2003","79067","1.447","443","178.5","2.1658","73.83","25.22"
"190","AC","AG","Antigua and Barbuda","2004","80194","1.384","443","181","2.2078","72.33","28.41"
"191","AC","AG","Antigua and Barbuda","2005","81277","1.3","443","183.5","2.105","72.65","27.71"
"192","AC","AG","Antigua and Barbuda","2006","82339","1.295","443","185.9","2.096","72.98","26.94"
"193","AC","AG","Antigua and Barbuda","2007","83409","1.288","443","188.3","2.087","73.31","26.19"
"194","AC","AG","Antigua and Barbuda","2008","84487","1.279","443","190.7","2.078","73.64","25.46"
"195","AC","AG","Antigua and Barbuda","2009","85572","1.271","443","193.2","2.069","73.96","24.74"
"196","AC","AG","Antigua and Barbuda","2010","86664","1.265","443","195.6","2.06","74.28","24.05"
"197","AC","AG","Antigua and Barbuda","2011","87764","1.258","443","198.1","2.051","74.6","23.38"
"198","AC","AG","Antigua and Barbuda","2012","88872","1.252","443","200.6","2.042","74.91","22.75"
"199","AC","AG","Antigua and Barbuda","2013","89990","1.247","443","203.1","2.033","75.22","22.1"
"200","AC","AG","Antigua and Barbuda","2014","91115","1.238","443","205.7","2.024","75.53","21.49"
"201","AR","AR","Argentina","1990","33035578","1.397","2736690","12.1","2.9624","72.38","29.13"
"202","AR","AR","Argentina","1991","33504421","1.421","2736690","12.2","3.0735","72.15","28.85"
"203","AR","AR","Argentina","1992","33966873","1.321","2736690","12.4","2.8627","72.77","26.43"
"204","AR","AR","Argentina","1993","34407178","1.255","2736690","12.6","2.7669","72.89","25.86"
"205","AR","AR","Argentina","1994","34846915","1.285","2736690","12.7","2.744","73.46","24.76"
"206","AR","AR","Argentina","1995","35273867","1.152","2736690","12.9","2.6298","73.37","24.51"
"207","AR","AR","Argentina","1996","35682983","1.155","2736690","13","2.6505","73.7","23.97"
"208","AR","AR","Argentina","1997","36102182","1.181","2736690","13.2","2.6663","74.12","22.86"
"209","AR","AR","Argentina","1998","36517941","1.109","2736690","13.3","2.5906","73.71","22"
"210","AR","AR","Argentina","1999","36923439","1.099","2736690","13.5","2.5612","74.12","21.72"
"211","AR","AR","Argentina","2000","37335675","1.121","2736690","13.6","2.5712","74.54","20.43"
"212","AR","AR","Argentina","2001","37739190","1.029","2736690","13.8","2.4683","74.91","19.47"
"213","AR","AR","Argentina","2002","38131971","1.041","2736690","13.9","2.4669","75.23","18.61"
"214","AR","AR","Argentina","2003","38529402","1.032","2736690","14.1","2.4408","75.53","17.54"
"215","AR","AR","Argentina","2004","38945354","1.115","2736690","14.2","2.5411","75.21","16.76"
"216","AR","AR","Argentina","2005","39367281","1.041","2736690","14.4","2.4319","75.5","15.26"
"217","AR","AR","Argentina","2006","39761782","0.954","2736690","14.5","2.2916","75.79","14.83"
"218","AR","AR","Argentina","2007","40134011","0.91","2736690","14.7","2.2769","75.21","15.56"
"219","AR","AR","Argentina","2008","40531409","1.06","2736690","14.8","2.4017","75.87","15.03"
"220","AR","AR","Argentina","2009","40943942","0.966","2736690","15","2.3762","75.12","14.42"
"221","AR","AR","Argentina","2010","41358093","1.047","2736690","15.1","2.3934","76.06","13.95"
"222","AR","AR","Argentina","2011","41791721","1.039","2736690","15.3","2.3829","76.27","13.7"
"223","AR","AR","Argentina","2012","42216144","0.982","2736690","15.4","2.3045","76.51","12.85"
"224","AR","AR","Argentina","2013","42635451","0.995","2736690","15.6","2.3408","76.51","12.89"
"225","AR","AR","Argentina","2014","43057355","0.975","2736690","15.7","2.3204","76.69","12.69"
"226","AM","AM","Armenia","1990","3529365","1.701","28203","125.1","2.6635","71.18","38.75"
"227","AM","AM","Armenia","1991","3589332","1.669","28203","127.3","2.6137","71.15","34.68"
"228","AM","AM","Armenia","1992","3508953","-6.288","28203","124.4","2.4987","69.5","38.75"
"229","AM","AM","Armenia","1993","3328558","-4.21","28203","118","2.2478","68.64","35.05"
"230","AM","AM","Armenia","1994","3198062","-3.779","28203","113.4","2.2414","69.52","29.65"
"231","AM","AM","Armenia","1995","3130256","-0.471","28203","111","2.235","69.54","27.94"
"232","AM","AM","Armenia","1996","3120069","-0.18","28203","110.6","2.1495","69.83","29.15"
"233","AM","AM","Armenia","1997","3112663","-0.295","28203","110.4","2.064","70.53","27.77"
"234","AM","AM","Armenia","1998","3106215","-0.119","28203","110.1","1.9785","71.23","25.03"
"235","AM","AM","Armenia","1999","3104066","-0.019","28203","110.1","1.893","70.97","26.03"
"236","AM","AM","Armenia","2000","3100044","-0.24","28203","109.9","1.8075","71.58","24"
"237","AM","AM","Armenia","2001","3099476","0.204","28203","109.9","1.77","71.87","21.57"
"238","AM","AM","Armenia","2002","3096323","-0.407","28203","109.8","1.7325","71.75","19.83"
"239","AM","AM","Armenia","2003","3088906","-0.072","28203","109.5","1.695","71.83","19.78"
"240","AM","AM","Armenia","2004","3086693","-0.071","28203","109.4","1.6575","72.12","20.36"
"241","AM","AM","Armenia","2005","3084082","-0.098","28203","109.4","1.62","72.23","19.86"
"242","AM","AM","Armenia","2006","3081103","-0.095","28203","109.2","1.6218","72.17","19.32"
"243","AM","AM","Armenia","2007","3078608","-0.067","28203","109.2","1.6236","72.62","18.57"
"244","AM","AM","Armenia","2008","3076467","-0.073","28203","109.1","1.6253","72.66","18.06"
"245","AM","AM","Armenia","2009","3074270","-0.07","28203","109","1.6271","72.86","18.46"
"246","AM","AM","Armenia","2010","3071974","-0.079","28203","108.9","1.6289","73.1","18.55"
"247","AM","AM","Armenia","2011","3069561","-0.078","28203","108.8","1.6307","73.38","17.49"
"248","AM","AM","Armenia","2012","3067011","-0.088","28203","108.7","1.6324","73.61","17.12"
"249","AM","AM","Armenia","2013","3064086","-0.103","28203","108.6","1.6342","73.86","16.77"
"250","AM","AM","Armenia","2014","3060577","-0.127","28203","108.5","1.636","74.12","16.42"
"251","AA","AW","Aruba","1990","63032","5.364","180","350.2","2.2833","72.97","24.1"
"252","AA","AW","Aruba","1991","66304","4.77","180","368.4","2.322","72.97","23.92"
"253","AA","AW","Aruba","1992","69478","4.584","180","386","2.2602","72.97","23.74"
"254","AA","AW","Aruba","1993","74066","8.09","180","411.5","2.2068","72.84","23.82"
"255","AA","AW","Aruba","1994","77853","2.033","180","432.5","2.1103","72.87","23.62"
"256","AA","AW","Aruba","1995","79962","3.295","180","444.2","2.2732","72.82","23.56"
"257","AA","AW","Aruba","1996","83070","4.31","180","461.5","2.2722","72.88","23.28"
"258","AA","AW","Aruba","1997","86206","3.123","180","478.9","2.2237","72.75","23.44"
"259","AA","AW","Aruba","1998","88204","1.478","180","490","2.0066","72.9","22.94"
"260","AA","AW","Aruba","1999","89259","0.901","180","495.9","1.934","72.89","22.8"
"261","AA","AW","Aruba","2000","89995","0.742","180","500","1.8615","72.88","22.68"
"262","AA","AW","Aruba","2001","90969","1.408","180","505.4","1.8599","73.13","22.19"
"263","AA","AW","Aruba","2002","92166","1.208","180","512","1.8583","73.37","21.72"
"264","AA","AW","Aruba","2003","93707","2.102","180","520.6","1.8567","73.61","21.25"
"265","AA","AW","Aruba","2004","95444","1.577","180","530.2","1.855","73.86","20.81"
"266","AA","AW","Aruba","2005","96951","1.555","180","538.6","1.8534","74.1","20.37"
"267","AA","AW","Aruba","2006","98461","1.536","180","547","1.8518","74.33","19.94"
"268","AA","AW","Aruba","2007","99976","1.516","180","555.4","1.8502","74.57","19.51"
"269","AA","AW","Aruba","2008","101494","1.498","180","563.9","1.8486","74.81","19.09"
"270","AA","AW","Aruba","2009","103014","1.477","180","572.3","1.847","75.04","18.7"
"271","AA","AW","Aruba","2010","104537","1.457","180","580.8","1.8453","75.27","18.3"
"272","AA","AW","Aruba","2011","106062","1.438","180","589.2","1.8437","75.5","17.91"
"273","AA","AW","Aruba","2012","107587","1.417","180","597.7","1.8421","75.73","17.51"
"274","AA","AW","Aruba","2013","109110","1.394","180","606.2","1.8405","75.96","17.14"
"275","AA","AW","Aruba","2014","110627","1.368","180","614.6","1.8389","76.19","16.79"
"276","AS","AU","Australia","1990","16738778","1.596","7682300","2.2","1.9113","76.64","10.02"
"277","AS","AU","Australia","1991","16984661","1.322","7682300","2.2","1.8563","77.14","8.39"
"278","AS","AU","Australia","1992","17201463","1.215","7682300","2.2","1.8954","77.14","8.6"
"279","AS","AU","Australia","1993","17390334","0.97","7682300","2.3","1.8642","77.65","7.62"
"280","AS","AU","Australia","1994","17563625","1.013","7682300","2.3","1.8483","77.62","7.2"
"281","AS","AU","Australia","1995","17758170","1.189","7682300","2.3","1.8312","77.99","6.98"
"282","AS","AU","Australia","1996","17978388","1.275","7682300","2.3","1.8063","78.05","7.05"
"283","AS","AU","Australia","1997","18197799","1.152","7682300","2.4","1.7851","78.29","6.57"
"284","AS","AU","Australia","1998","18403373","1.095","7682300","2.4","1.7669","78.75","6.35"
"285","AS","AU","Australia","1999","18612787","1.167","7682300","2.4","1.7623","79","6.78"
"286","AS","AU","Australia","2000","18835722","1.214","7682300","2.5","1.7598","79.36","6.23"
"287","AS","AU","Australia","2001","19076793","1.329","7682300","2.5","1.7294","79.69","6.28"
"288","AS","AU","Australia","2002","19317473","1.179","7682300","2.5","1.7529","79.7","6.11"
"289","AS","AU","Australia","2003","19549075","1.204","7682300","2.5","1.7467","80.09","5.85"
"290","AS","AU","Australia","2004","19777611","1.121","7682300","2.6","1.7633","80.42","5.71"
"291","AS","AU","Australia","2005","20014831","1.263","7682300","2.6","1.7955","80.84","6.01"
"292","AS","AU","Australia","2006","20277945","1.349","7682300","2.6","1.88","81.03","5.59"
"293","AS","AU","Australia","2007","20610385","1.899","7682300","2.7","1.9501","81.06","5.15"
"294","AS","AU","Australia","2008","21040262","2.226","7682300","2.7","1.987","80.94","5.07"
"295","AS","AU","Australia","2009","21475384","1.871","7682300","2.8","1.9372","81.45","5.07"
"296","AS","AU","Australia","2010","21839563","1.495","7682300","2.8","1.9202","81.58","4.94"
"297","AS","AU","Australia","2011","22183001","1.625","7682300","2.9","1.9187","81.67","4.6"
"298","AS","AU","Australia","2012","22563165","1.773","7682300","2.9","1.9378","81.99","4.15"
"299","AS","AU","Australia","2013","22946421","1.598","7682300","3","1.8946","82.25","4.3"
"300","AS","AU","Australia","2014","23292143","1.395","7682300","3","1.813","82.19","4.09"
"301","AU","AT","Austria","1990","7722953","","82445","93.7","","",""
"302","AU","AT","Austria","1991","7818423","1.265","82445","94.8","1.4945","75.63","9.12"
"303","AU","AT","Austria","1992","7914969","1.19","82445","96","1.4896","75.85","9.02"
"304","AU","AT","Austria","1993","7988599","0.664","82445","96.9","1.4833","76.11","7.71"
"305","AU","AT","Austria","1994","8027539","0.309","82445","97.4","1.4444","76.46","7.57"
"306","AU","AT","Austria","1995","8047432","0.186","82445","97.6","1.3994","76.72","6.55"
